"text","Lable"
"هل هذه الطريقة الرائعة لتعليم الأطفال معنى العنصرية؟","1"
"من الحزين جدًاا!","0"
"نعم، أبرزوا أيضًا الأطفال الذين تصرفوا بالطريقة التي أرادوا لإثبات نقطتهم. لم يبرزوا المئات الآخرين الذين لم يفعلوا ذلك.","0"
"أنتم مدمري العرق المختلط، أنتم السبب في كل هذه الفوضى.","0"
"هم يعلمون أننا الأشخاص الصالحون، كلها كانت كذبة!","0"
"هذا الطفل هو المفضل لدي وجميل جدًا.","2"
"أحد يعرض هذا على كانديس أوينز.","1"
"حزين.","0"
"هذا اختبار غبي. إذا فكر هؤلاء الأطفال الغبياء خارج الصندوق.","0"
"أنا أحب أن أفكر في الجميع كأنواع من الخطمي! لا يهم ما إذا كنا خطميًا عاديًا أو خطميًا بنيًا ذهبيًا أو خطميًا محروقًا! لأننا جميعًا لزجون من الداخل!","1"
"يمكن ألا تفهم عادات الثقافية وعادات تناول الطعام للأشخاص الآخرين، وقد لا تعجبك لون بشرتهم أو لون شعرهم أو لكن يرجى تعلم احترام الاختلافات الجميع متساوون.","1"
"هذا محزن للغاية.","1"
"اليدين العبرية نشرت هذا الفيديو.","1"
"أخي، تصغير ثقتي تقريبًا  بعد مشاهدة هذا.","0"
"كيف هذا بسبب العنصرية؟ فقط يظهر حتى الأطفال يفضلون الأبيض.","1"
"إنها حقيقة عالمية، الأبيض هو الصواب والأسود هو السيء والمسمى 'الأشخاص ذوو اللون'. إنه في كل مكان. سيستمر البيض في أن يعبد عالميًا.","0"
"حقائق عن هذه الأطفال التي كانت أرواحهم مشغولة بالعنصرية من حولهم حتى كانت إجابتهم عن 'أي دمية سيئة؟' و 'أي دمية تبدو مثلك؟' هي نفسها ","1"
"توقفوا عن إخبار الأطفال بأنه من السهل لعب بطاقة العرق في كل شيء فقط لأنها رحلة مجانية عبر الحياة لهم.","1"
"هذا ما أُنشئ يوتيوب من أجله.","1"
"هذا فيديو غريب جدًا","1"
"جيل سطحي ","0"
"مشترك جديد","1"
"من أين حصلت على قلادتك؟ أنا مهووسة بها","2"
